用例编号,用例名称,用例包,主要参与者,次要参与者,前置条件,后置条件,主要流程,扩展流程,包含关系,扩展关系,业务价值,优先级,复杂度
UC01,提交任务请求,任务执行管理,"最终用户, API客户端/开发者",外部AI服务,用户已登录系统,任务已提交并获得planId,用户输入自然语言描述任务需求;系统解析任务需求;生成执行计划;返回任务ID,任务提交失败时显示错误信息,生成执行计划;动态加载智能体,中断任务执行,为用户提供简单易用的任务提交方式,高,中
UC02,查看任务执行状态,任务执行管理,"最终用户, API客户端/开发者",,任务已提交,返回当前执行状态,用户提供任务ID;系统查询执行状态;返回状态信息,状态查询失败时返回错误,,,实时了解任务执行进度,高,低
UC03,获取任务执行结果,任务执行管理,"最终用户, API客户端/开发者",,任务已完成或失败,返回执行结果,用户提供任务ID;系统查询执行结果;返回结果数据,结果获取失败时进行错误处理,,错误处理与恢复,获取任务处理的最终成果,高,低
UC04,管理任务执行历史,任务执行管理,"最终用户, API客户端/开发者",数据库系统,用户已有历史任务,返回历史任务列表,用户查询历史任务;系统从数据库获取历史记录;返回任务列表,分页显示大量历史记录,,,方便用户管理和回顾历史任务,中,低
UC05,中断任务执行,任务执行管理,"最终用户, API客户端/开发者",,任务正在执行,任务被成功中断,用户选择要中断的任务;系统停止任务执行;清理相关资源,中断失败时显示错误信息,,,在需要时能够及时停止任务,中,中
UC06,创建智能体配置,智能体管理,系统管理员,,用户具有管理员权限,智能体配置已创建,管理员输入智能体基本信息;配置可用工具;设置提示词模板;保存配置,配置验证失败时显示错误,获取可用工具列表,,为不同场景定制专用智能体,高,高
UC07,编辑智能体配置,智能体管理,系统管理员,,智能体配置已存在,智能体配置已更新,管理员选择要编辑的智能体;修改配置信息;保存变更,编辑冲突时提示用户,,,灵活调整智能体行为和能力,中,中
UC08,删除智能体配置,智能体管理,系统管理员,,智能体配置已存在且未被使用,智能体配置已删除,管理员选择要删除的智能体;确认删除操作;系统删除配置,智能体正在使用时禁止删除,,,清理不需要的智能体配置,低,低
UC09,查看智能体列表,智能体管理,"最终用户, 系统管理员",,系统中存在智能体配置,返回智能体列表,用户请求智能体列表;系统查询所有可用智能体;返回列表信息,按命名空间过滤智能体,,,了解系统可用的智能体,中,低
UC10,获取可用工具列表,智能体管理,"最终用户, 系统管理员",,系统中存在工具配置,返回工具列表,用户请求工具列表;系统查询所有可用工具;返回工具信息,按工具分组显示,,,了解智能体可使用的工具能力,中,低
UC11,动态加载智能体,智能体管理,系统管理员,,智能体配置已存在,智能体已加载到内存,系统根据配置动态创建智能体实例;初始化智能体参数;加载到执行环境,加载失败时记录错误日志,,,运行时灵活创建和配置智能体,高,高
UC12,生成执行计划,计划模板管理,"API客户端/开发者, 系统管理员",外部AI服务,任务需求已明确,执行计划已生成,系统分析任务需求;调用LLM生成计划;解析计划结构;返回计划内容,计划生成失败时重试,,渲染提示词模板,自动化任务分解和规划,高,高
UC13,保存计划模板,计划模板管理,系统管理员,数据库系统,执行计划已生成且验证成功,计划模板已保存,管理员选择成功的执行计划;设置模板名称和描述;保存到模板库,模板名称冲突时提示重命名,,,提高相似任务的执行效率,中,中
UC14,管理计划版本,计划模板管理,系统管理员,数据库系统,计划模板已存在,版本信息已更新,系统自动记录模板版本;管理员可查看版本历史;支持版本回滚,版本冲突时提示用户选择,,,维护模板的演进历史,中,中
UC15,查看计划模板,计划模板管理,"最终用户, 系统管理员",,模板库中存在模板,返回模板列表和详情,用户浏览模板库;查看模板详细信息;预览模板内容,按类别和标签过滤模板,,,了解可复用的计划模板,中,低
UC16,复制计划模板,计划模板管理,系统管理员,,源模板已存在,新模板已创建,管理员选择源模板;修改模板信息;创建新模板,复制失败时显示错误,,,基于现有模板快速创建新模板,中,低
UC17,配置AI模型,AI模型管理,系统管理员,,用户具有管理员权限,AI模型配置已保存,管理员输入模型连接信息;设置模型参数;测试连接;保存配置,连接测试失败时显示错误信息,验证模型连接,,确保系统具备AI推理能力,高,中
UC18,验证模型连接,AI模型管理,系统管理员,外部AI服务,模型配置信息已输入,返回连接测试结果,系统使用配置信息连接AI服务;发送测试请求;验证响应;返回测试结果,连接超时时显示超时错误,,,确保模型服务可正常访问,高,低
UC19,获取可用模型类型,AI模型管理,系统管理员,,系统支持多种模型类型,返回支持的模型类型列表,用户请求模型类型;系统返回支持的类型列表;显示类型描述,动态发现新的模型类型,,,帮助用户了解支持的模型,低,低
