关系类型,源对象,目标对象,关系描述,多重性,约束条件,所属图表,包名
继承,AbstractBaseTool,ToolCallBiFunctionDef,工具抽象基类实现工具调用接口,1:1,,类图,工具体系
继承,PlanningTool,AbstractBaseTool,规划工具继承抽象基类,1:1,,类图,工具体系
继承,FormInputTool,AbstractBaseTool,表单输入工具继承抽象基类,1:1,,类图,工具体系
继承,DocLoaderTool,AbstractBaseTool,文档加载工具继承抽象基类,1:1,,类图,工具体系
继承,TerminateTool,AbstractBaseTool,终止工具继承抽象基类,1:1,,类图,工具体系
实现,PlanningTool,PlanningToolInterface,规划工具实现规划工具接口,1:1,,类图,工具体系
实现,MapReducePlanningTool,PlanningToolInterface,MapReduce规划工具实现规划工具接口,1:1,,类图,工具体系
实现,TerminateTool,TerminableTool,终止工具实现可终止工具接口,1:1,,类图,工具体系
实现,UnifiedDirectoryManager,IUnifiedDirectoryManager,统一目录管理器实现目录管理接口,1:1,,类图,工具体系
实现,ManusProperties,IManusProperties,配置属性类实现配置接口,1:1,,类图,配置管理
实现,LlmService,ILlmService,LLM服务实现LLM服务接口,1:1,,类图,业务服务层
实现,AgentServiceImpl,AgentService,智能体服务实现类实现智能体服务接口,1:1,,类图,业务服务层
实现,ModelServiceImpl,ModelService,模型服务实现类实现模型服务接口,1:1,,类图,业务服务层
实现,UserInputService,IUserInputService,用户输入服务实现用户输入服务接口,1:1,,类图,业务服务层
实现,AbstractPlanExecutor,PlanExecutorInterface,抽象计划执行器实现执行器接口,1:1,,类图,规划系统
继承,PlanExecutor,AbstractPlanExecutor,标准计划执行器继承抽象执行器,1:1,,类图,规划系统
继承,MapReducePlanExecutor,AbstractPlanExecutor,MapReduce执行器继承抽象执行器,1:1,,类图,规划系统
组合,PlanningCoordinator,PlanCreator,规划协调器包含计划创建器,1:1,,类图,规划系统
组合,PlanningCoordinator,PlanExecutorFactory,规划协调器包含执行器工厂,1:1,,类图,规划系统
组合,PlanningCoordinator,PlanFinalizer,规划协调器包含计划完成器,1:1,,类图,规划系统
组合,PlanCreator,PlanningToolInterface,计划创建器包含规划工具接口,1:1,,类图,规划系统
组合,AgentServiceImpl,DynamicAgentRepository,智能体服务包含智能体仓库,1:1,,类图,业务服务层
组合,ModelServiceImpl,DynamicModelRepository,模型服务包含模型仓库,1:1,,类图,业务服务层
组合,BaseAgent,AgentState,智能体包含状态枚举,1:1,,类图,智能体系统
组合,AbstractPlanExecutor,Pattern,抽象执行器包含正则模式,1:1,,类图,规划系统
聚合,PlanningFactory,PlanExecutorFactory,规划工厂聚合执行器工厂,1:1,,类图,工厂模式
聚合,AgentController,AgentService,智能体控制器聚合智能体服务,1:1,,类图,控制器层
聚合,ModelController,ModelService,模型控制器聚合模型服务,1:1,,类图,控制器层
聚合,ManusController,PlanningFactory,主控制器聚合规划工厂,1:1,,类图,控制器层
聚合,BaseAgent,ILlmService,智能体聚合LLM服务,1:1,,类图,智能体系统
聚合,BaseAgent,ManusProperties,智能体聚合配置属性,1:1,,类图,智能体系统
聚合,PlanCreator,ILlmService,计划创建器聚合LLM服务,1:1,,类图,规划系统
